,year,CIK,AssetsCurrent,LiabilitiesCurrent,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInFinancingActivities,CashAndCashEquivalentsPeriodIncreaseDecrease,OperatingIncomeLoss,NetIncomeLoss,ticker
1412,2012,0001123360,1248739000,837285000,-173475000,-150433000,-218186000,-573010000,9811000,5086000,GPN
1413,2012,0001123360,1248739000,837285000,-173475000,-150433000,-218186000,-573010000,9811000,5086000,GPN
1414,2012,0001123360,1248739000,837285000,-173475000,-150433000,-218186000,-573010000,9811000,5086000,GPN
1415,2012,0001123360,1248739000,837285000,-173475000,-150433000,-218186000,-573010000,9811000,5086000,GPN
1416,2012,0001123360,1248739000,837285000,-173475000,-150433000,-218186000,-573010000,9811000,5086000,GPN
1426,2012,0001002638,789274000,476513000,266490000,-281539000,302584000,275607000,149360000,125174000,OTEX
1427,2012,0001002638,789274000,476513000,266490000,-281539000,302584000,275607000,149360000,125174000,OTEX
1428,2012,0001002638,789274000,476513000,266490000,-281539000,302584000,275607000,149360000,125174000,OTEX
1429,2012,0001002638,789274000,476513000,266490000,-281539000,302584000,275607000,149360000,125174000,OTEX
1430,2012,0001002638,789274000,476513000,266490000,-281539000,302584000,275607000,149360000,125174000,OTEX
1431,2012,0001002638,789274000,476513000,266490000,-281539000,302584000,275607000,149360000,125174000,OTEX
1432,2012,0001002638,789274000,476513000,266490000,-281539000,302584000,275607000,149360000,125174000,OTEX
1433,2012,0001002638,789274000,476513000,266490000,-281539000,302584000,275607000,149360000,125174000,OTEX
1434,2012,0001137789,6310000000,3396000000,3262000000,-1114000000,-3118000000,-970000000,3108000000,2862000000,STX
1435,2012,0000080424,21910000000,24907000000,13284000000,-1093000000,-10410000000,1668000000,3063000000,3631000000,PG
1436,2012,0001399855,37252000,12667000,12857000,-9381000,-13534000,-10058000,9160000,5049000,NAUH
1445,2012,0000109563,665762000,230169000,90422000,-39434000,-60816000,-12650000,168395000,108779000,AIT
1454,2011,0001075857,297712,2115039,-20580,0,41287,20707,-687802,-1761019,VSYM
1457,2012,0001114925,21831000,9904000,-2523000,-639000,8700000,5538000,-2788000,-3040000,LTRX
1458,2012,0001114925,21831000,9904000,-2523000,-639000,8700000,5538000,-2788000,-3040000,LTRX
1459,2012,0001114925,21831000,9904000,-2523000,-639000,8700000,5538000,-2788000,-3040000,LTRX
1460,2012,0001114925,21831000,9904000,-2523000,-639000,8700000,5538000,-2788000,-3040000,LTRX
1461,2012,0001114925,21831000,9904000,-2523000,-639000,8700000,5538000,-2788000,-3040000,LTRX
1462,2012,0001114925,21831000,9904000,-2523000,-639000,8700000,5538000,-2788000,-3040000,LTRX
1463,2012,0001114925,21831000,9904000,-2523000,-639000,8700000,5538000,-2788000,-3040000,LTRX
1464,2012,0001114925,21831000,9904000,-2523000,-639000,8700000,5538000,-2788000,-3040000,LTRX
1481,2012,0000910406,448808000,202809000,121960000,-270664000,147423000,2378000,151528000,79225000,HAIN
1484,2012,0000096536,20981560,7181252,-1113720,-1556239,550377,-2119582,2887081,2198931,TAYD
1485,2012,0000842023,346507000,35750000,126746000,-21668000,-64625000,39062000,166209000,112331000,TECH
1486,2012,0001040470,10928000,4855000,-4875000,1330000,1576000,-1947000,-4507000,-3389000,AEHR
1493,2012,0000918965,1031930000,498401000,59958000,-12790000,-42292000,426000,113516000,74288000,SCSC
1497,2012,0001387467,193781000,63919000,32881000,-57931000,20462000,-4542000,16735000,12917000,AOSL
1540,2011,0001042187,23300969,17688994,817973,-1106907,-135465,-423351,1437702,483910,CTIB
1552,2011,0001095981,43337000,7821000,-35323000,-560000,20137000,-15746000,-29412000,-32451000,PSTV
1572,2012,0001477246,17423189,1903263,34124,-543484,5006311,4496951,619614,374835,SANW
1577,2011,0001419995,315667,3383600,-2885668,10641,2800423,-74604,-4313761,-4472848,DNAX
1579,2012,0000065312,10555618,2575932,38053,-65446,-351687,-379080,808738,511689,EVI
